SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260714_131348_875,1,Unspecified,0,2026-07-14T13:13:54.7982934+09:00,2026-07-14T13:13:55.2982934+09:00,5.923322,6.423322,30,30,0.039397,-0.203750,0.000480,0.032218,-0.003862,0.180825,0
20260714_131348_875,1,Unspecified,1,2026-07-14T13:13:55.2982934+09:00,2026-07-14T13:13:55.7982934+09:00,6.423322,6.923322,30,30,0.090357,-0.382820,0.000232,0.019336,0.000899,0.139885,0
20260714_131348_875,1,Unspecified,2,2026-07-14T13:13:55.7982934+09:00,2026-07-14T13:13:56.2982934+09:00,6.923322,7.423322,30,30,0.071890,-0.087320,0.000279,0.000468,-0.000359,0.027343,0
20260714_131348_875,1,Unspecified,3,2026-07-14T13:13:56.2982934+09:00,2026-07-14T13:13:56.7982934+09:00,7.423322,7.923322,30,30,0.051540,-0.059429,0.000293,0.000196,0.000024,0.022111,0
20260714_131348_875,1,Unspecified,4,2026-07-14T13:13:56.7982934+09:00,2026-07-14T13:13:57.2982934+09:00,7.923322,8.423322,30,30,0.054778,-0.064352,0.000476,0.000077,-0.000080,0.023518,0
20260714_131348_875,1,Unspecified,5,2026-07-14T13:13:57.2982934+09:00,2026-07-14T13:13:57.7982934+09:00,8.423322,8.923322,30,30,0.046678,-0.080494,0.000110,0.000125,0.000048,0.015323,0
20260714_131348_875,1,Unspecified,6,2026-07-14T13:13:57.7982934+09:00,2026-07-14T13:13:58.2982934+09:00,8.923322,9.423322,30,30,-0.015452,-0.073059,0.000827,0.000059,0.000210,0.029758,0
20260714_131348_875,1,Unspecified,7,2026-07-14T13:13:58.2982934+09:00,2026-07-14T13:13:58.7982934+09:00,9.423322,9.923322,30,30,0.034429,-0.068552,0.000953,0.000029,0.000159,0.031345,0
20260714_131348_875,1,Unspecified,8,2026-07-14T13:13:58.7982934+09:00,2026-07-14T13:13:59.2982934+09:00,9.923322,10.423322,30,30,0.078372,-0.007198,0.000312,0.001356,-0.000220,0.040834,0
20260714_131348_875,1,Unspecified,9,2026-07-14T13:13:59.2982934+09:00,2026-07-14T13:13:59.7982934+09:00,10.423322,10.923322,30,30,-0.010486,0.053380,0.001742,0.000004,-0.000002,0.041786,0
20260714_131348_875,1,Unspecified,10,2026-07-14T13:13:59.7982934+09:00,2026-07-14T13:14:00.2982934+09:00,10.923322,11.423322,30,30,-0.089464,-0.018645,0.013903,0.000022,-0.000493,0.118003,0
20260714_131348_875,1,Unspecified,11,2026-07-14T13:14:00.2982934+09:00,2026-07-14T13:14:00.7982934+09:00,11.423322,11.923322,30,30,0.276315,-0.018558,0.002050,0.000008,0.000099,0.045357,0
20260714_131348_875,1,Unspecified,12,2026-07-14T13:14:00.7982934+09:00,2026-07-14T13:14:01.2982934+09:00,11.923322,12.423322,30,30,0.197418,0.045768,0.001935,0.000744,-0.000975,0.051756,0
20260714_131348_875,1,Unspecified,13,2026-07-14T13:14:01.2982934+09:00,2026-07-14T13:14:01.7982934+09:00,12.423322,12.923322,30,30,-0.055848,0.067337,0.004190,0.000091,0.000467,0.065423,0
20260714_131348_875,1,Unspecified,14,2026-07-14T13:14:01.7982934+09:00,2026-07-14T13:14:02.2982934+09:00,12.923322,13.423322,30,30,-0.043057,-0.109983,0.009535,0.002313,-0.003814,0.108848,0
20260714_131348_875,1,Unspecified,15,2026-07-14T13:14:02.2982934+09:00,2026-07-14T13:14:02.7982934+09:00,13.423322,13.923322,30,30,0.277119,-0.131253,0.002662,0.002182,0.001318,0.069594,0
20260714_131348_875,1,Unspecified,16,2026-07-14T13:14:02.7982934+09:00,2026-07-14T13:14:03.2982934+09:00,13.923322,14.423322,30,30,0.250021,0.045590,0.006176,0.000678,-0.001568,0.082789,0
20260714_131348_875,1,Unspecified,17,2026-07-14T13:14:03.2982934+09:00,2026-07-14T13:14:03.7982934+09:00,14.423322,14.923322,30,30,-0.039248,0.027091,0.010672,0.001363,0.003567,0.109704,0
20260714_131348_875,1,Unspecified,18,2026-07-14T13:14:03.7982934+09:00,2026-07-14T13:14:04.2982934+09:00,14.923322,15.423322,30,30,0.005432,-0.114167,0.014671,0.001991,-0.004685,0.129082,0
20260714_131348_875,1,Unspecified,19,2026-07-14T13:14:04.2982934+09:00,2026-07-14T13:14:04.7982934+09:00,15.423322,15.923322,30,30,0.213643,-0.062639,0.003837,0.004599,-0.003339,0.091851,0
20260714_131348_875,1,Unspecified,20,2026-07-14T13:14:04.7982934+09:00,2026-07-14T13:14:05.2982934+09:00,15.923322,16.423322,30,30,-0.014679,0.051287,0.003476,0.001404,0.001775,0.069862,0
20260714_131348_875,1,Unspecified,21,2026-07-14T13:14:05.2982934+09:00,2026-07-14T13:14:05.7982934+09:00,16.423322,16.923322,30,30,-0.019661,-0.079570,0.005280,0.003637,-0.001458,0.094431,0
20260714_131348_875,1,Unspecified,22,2026-07-14T13:14:05.7982934+09:00,2026-07-14T13:14:06.2982934+09:00,16.923322,17.423322,30,30,0.021444,-0.079550,0.001738,0.003187,0.001621,0.070178,0
20260714_131348_875,1,Unspecified,23,2026-07-14T13:14:06.2982934+09:00,2026-07-14T13:14:06.4982934+09:00,17.423322,17.623432,12,12,-0.013481,-0.172133,0.000006,0.000001,0.000001,0.002546,0
