SessionId,RecordingId,Condition,AbsTime,ElapsedSec,EventType,Details
20260803_201248_689,1,Unspecified,2026-08-03T20:13:25.7507956+09:00,37.061159,SessionCreated,
20260803_201248_689,1,Unspecified,2026-08-03T20:13:25.7517956+09:00,37.062418,RecordingStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:14:07.8937956+09:00,79.203988,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:14:10.9047956+09:00,82.214548,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:15:10.9147956+09:00,142.224773,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:15:13.9247956+09:00,145.235285,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:16:13.9357956+09:00,205.245728,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:16:16.9347956+09:00,208.245208,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:17:16.9457956+09:00,268.256273,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:17:19.9457956+09:00,271.255786,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:18:19.9557956+09:00,331.266127,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:18:22.9557956+09:00,334.265678,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:19:22.9657956+09:00,394.276268,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:19:25.9767956+09:00,397.286909,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:20:25.9867956+09:00,457.297190,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:20:28.9867956+09:00,460.297202,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:21:28.9857956+09:00,520.296493,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:21:31.9967956+09:00,523.307118,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:22:32.0077956+09:00,583.317525,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:22:35.0067956+09:00,586.317084,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:23:35.0077956+09:00,646.317898,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:23:38.0087956+09:00,649.318556,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:24:38.0167956+09:00,709.327330,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:24:41.0267956+09:00,712.337243,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:25:41.0377956+09:00,772.347761,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:25:44.0477956+09:00,775.358193,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:26:44.0587956+09:00,835.368801,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:26:47.0587956+09:00,838.368588,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:27:47.0677956+09:00,898.378381,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:27:50.0677956+09:00,901.378100,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:28:50.0787956+09:00,961.388981,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:28:53.0897956+09:00,964.399519,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:29:53.0997956+09:00,1024.410124,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:29:56.1097956+09:00,1027.420347,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:30:56.1207956+09:00,1087.431026,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:30:59.1317956+09:00,1090.441557,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:31:59.1417956+09:00,1150.452476,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:32:02.1417956+09:00,1153.452014,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:33:02.1517956+09:00,1213.462407,DisturbanceStart,
20260803_201248_689,1,Unspecified,2026-08-03T20:33:05.1627956+09:00,1216.472783,DisturbanceEnd,
20260803_201248_689,1,Unspecified,2026-08-03T20:33:37.6997956+09:00,1249.010052,RecordingStop,
