SessionId,RecordingId,Condition,EventType,EventId,StartAbsTime,EndAbsTime,StartElapsedSec,EndElapsedSec,DurationMs,StartSampleIndex,EndSampleIndex,MaxClosure,MeanClosure,IsAccepted,TrackingInterrupted,EndReason
20260804_173014_890,1,Unspecified,Blink,1,2026-08-04T17:30:23.5968666+09:00,2026-08-04T17:30:24.0858666+09:00,8.706311,9.195329,489.018,36,65,0.980096,0.700565,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,2,2026-08-04T17:30:24.4198666+09:00,2026-08-04T17:30:24.4638666+09:00,9.528565,9.573077,44.512,85,88,0.889322,0.380063,0,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,3,2026-08-04T17:30:25.8308666+09:00,2026-08-04T17:30:25.9198666+09:00,10.940196,11.029085,88.889,170,175,0.864095,0.472726,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,4,2026-08-04T17:30:29.5978666+09:00,2026-08-04T17:30:29.6868666+09:00,14.706842,14.795846,89.004,396,401,0.791164,0.671767,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,5,2026-08-04T17:30:31.5868666+09:00,2026-08-04T17:30:31.6528666+09:00,16.695860,16.762457,66.597,515,519,0.596649,0.382213,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,6,2026-08-04T17:30:33.9858666+09:00,2026-08-04T17:30:34.1308666+09:00,19.095431,19.240035,144.604,659,668,0.996144,0.661234,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,7,2026-08-04T17:30:35.9528666+09:00,2026-08-04T17:30:36.0528666+09:00,21.062356,21.162407,100.051,777,783,0.957297,0.653609,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,8,2026-08-04T17:30:37.8978666+09:00,2026-08-04T17:30:38.0528666+09:00,23.006606,23.162268,155.662,894,903,0.998757,0.721577,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,9,2026-08-04T17:30:39.7858666+09:00,2026-08-04T17:30:39.9638666+09:00,24.895298,25.073074,177.776,1007,1018,0.999959,0.769131,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,10,2026-08-04T17:30:41.4978666+09:00,2026-08-04T17:30:41.6198666+09:00,26.606682,26.728820,122.139,1110,1117,0.938054,0.671921,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,11,2026-08-04T17:30:43.4528666+09:00,2026-08-04T17:30:43.6528666+09:00,28.562045,28.762062,200.017,1227,1239,0.999091,0.693721,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,12,2026-08-04T17:30:45.4978666+09:00,2026-08-04T17:30:45.6868666+09:00,30.606624,30.795502,188.877,1350,1361,0.961662,0.633115,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,13,2026-08-04T17:30:47.4978666+09:00,2026-08-04T17:30:47.5978666+09:00,32.606754,32.706681,99.928,1470,1476,0.730189,0.510759,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,14,2026-08-04T17:30:47.8528666+09:00,2026-08-04T17:30:48.0638666+09:00,32.962215,33.173368,211.153,1491,1504,0.999995,0.820570,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,15,2026-08-04T17:30:49.7528666+09:00,2026-08-04T17:30:49.8968666+09:00,34.861869,35.006281,144.412,1605,1614,0.932329,0.635119,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,16,2026-08-04T17:30:51.6198666+09:00,2026-08-04T17:30:51.7198666+09:00,36.728643,36.828680,100.037,1717,1723,0.949783,0.482523,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,17,2026-08-04T17:30:53.8858666+09:00,2026-08-04T17:30:54.0308666+09:00,38.995448,39.139873,144.426,1853,1862,0.995594,0.643594,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,18,2026-08-04T17:30:55.7198666+09:00,2026-08-04T17:30:55.7978666+09:00,40.828859,40.906610,77.751,1963,1968,0.749312,0.515016,1,0,EyesOpened
20260804_173014_890,1,Unspecified,Blink,19,2026-08-04T17:30:57.9528666+09:00,2026-08-04T17:30:58.1198666+09:00,43.061916,43.228584,166.668,2097,2107,0.999928,0.664878,1,0,EyesOpened
