SessionId,RecordingId,Condition,WindowIndex,WindowStartAbsTime,WindowEndAbsTime,WindowStartElapsedSec,WindowEndElapsedSec,SampleCount,ValidSampleCount,MeanGazeX,MeanGazeY,VarianceGazeX,VarianceGazeY,CovarianceXY,Dispersion,TrackingFailureCount
20260806_192155_881,1,Unspecified,0,2026-08-06T19:22:28.2333273+09:00,2026-08-06T19:22:28.7333273+09:00,32.352185,32.852185,31,31,0.035947,-0.031874,0.000013,0.000007,-0.000003,0.004526,0
20260806_192155_881,1,Unspecified,1,2026-08-06T19:22:28.7333273+09:00,2026-08-06T19:22:29.2333273+09:00,32.852185,33.352185,29,29,0.040144,-0.020792,0.000005,0.000094,-0.000014,0.009954,0
20260806_192155_881,1,Unspecified,2,2026-08-06T19:22:29.2333273+09:00,2026-08-06T19:22:29.7333273+09:00,33.352185,33.852185,30,30,0.035946,0.021278,0.000009,0.000067,-0.000015,0.008714,0
20260806_192155_881,1,Unspecified,3,2026-08-06T19:22:29.7333273+09:00,2026-08-06T19:22:30.2333273+09:00,33.852185,34.352185,30,30,0.049386,0.024291,0.000096,0.000003,0.000009,0.009958,0
20260806_192155_881,1,Unspecified,4,2026-08-06T19:22:30.2333273+09:00,2026-08-06T19:22:30.7333273+09:00,34.352185,34.852185,30,30,0.044101,0.029400,0.000075,0.000003,-0.000012,0.008870,0
20260806_192155_881,1,Unspecified,5,2026-08-06T19:22:30.7333273+09:00,2026-08-06T19:22:31.2333273+09:00,34.852185,35.352185,30,30,0.029867,0.030315,0.000134,0.000021,-0.000024,0.012428,0
20260806_192155_881,1,Unspecified,6,2026-08-06T19:22:31.2333273+09:00,2026-08-06T19:22:31.7333273+09:00,35.352185,35.852185,30,30,0.034208,0.067369,0.000066,0.000089,0.000052,0.012462,0
20260806_192155_881,1,Unspecified,7,2026-08-06T19:22:31.7333273+09:00,2026-08-06T19:22:32.2333273+09:00,35.852185,36.352185,30,30,0.025223,0.073691,0.000007,0.000004,0.000004,0.003291,0
20260806_192155_881,1,Unspecified,8,2026-08-06T19:22:32.2333273+09:00,2026-08-06T19:22:32.7333273+09:00,36.352185,36.852185,30,30,0.029916,0.072529,0.000020,0.000039,0.000025,0.007632,0
20260806_192155_881,1,Unspecified,9,2026-08-06T19:22:32.7333273+09:00,2026-08-06T19:22:33.2333273+09:00,36.852185,37.352185,30,30,0.024757,0.059218,0.000073,0.000262,-0.000029,0.018307,0
20260806_192155_881,1,Unspecified,10,2026-08-06T19:22:33.2333273+09:00,2026-08-06T19:22:33.7333273+09:00,37.352185,37.852185,30,30,0.024531,0.067238,0.000002,0.000002,0.000001,0.001999,0
20260806_192155_881,1,Unspecified,11,2026-08-06T19:22:33.7333273+09:00,2026-08-06T19:22:34.2333273+09:00,37.852185,38.352185,31,31,0.025016,0.069026,0.000004,0.000002,0.000001,0.002277,0
20260806_192155_881,1,Unspecified,12,2026-08-06T19:22:34.2333273+09:00,2026-08-06T19:22:34.7333273+09:00,38.352185,38.852185,30,30,0.027325,0.066898,0.000003,0.000001,0.000000,0.002038,0
20260806_192155_881,1,Unspecified,13,2026-08-06T19:22:34.7333273+09:00,2026-08-06T19:22:35.2333273+09:00,38.852185,39.352185,29,29,0.024998,0.034585,0.000183,0.000331,-0.000054,0.022660,0
20260806_192155_881,1,Unspecified,14,2026-08-06T19:22:35.2333273+09:00,2026-08-06T19:22:35.7333273+09:00,39.352185,39.852185,30,30,0.021450,0.061286,0.000124,0.000050,-0.000010,0.013202,0
