FrameIndex,Block,Trial,Time,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftGazeDirX,LeftGazeDirY,LeftGazeDirZ,LeftConf,RightGazeDirX,RightGazeDirY,RightGazeDirZ,RightConf,GazeRawX,GazeRawY,GazeCorrX,GazeCorrY,IsBlink
0,0,0,49.0175,-0.5241,1.4020,0.4306,-0.0318,-0.4060,-0.0286,0.9129,-0.9302,-0.3520,-0.1041,0.998,-0.9226,-0.3522,-0.1576,0.998,-0.5848,-0.3320,-0.5842,-0.3316,0
1,0,0,49.0326,-0.5240,1.4020,0.4309,-0.0319,-0.4060,-0.0285,0.9129,-0.9302,-0.3506,-0.1085,0.998,-0.9224,-0.3507,-0.1621,0.998,-0.5905,-0.3324,-0.5898,-0.3317,0
2,0,0,49.0429,-0.5239,1.4021,0.4312,-0.0320,-0.4061,-0.0284,0.9128,-0.9302,-0.3506,-0.1086,0.998,-0.9223,-0.3507,-0.1621,0.998,-0.5905,-0.3323,-0.5897,-0.3314,0
3,0,0,49.0501,-0.5237,1.4021,0.4315,-0.0322,-0.4064,-0.0283,0.9127,-0.9301,-0.3506,-0.1095,0.998,-0.9222,-0.3508,-0.1630,0.998,-0.5911,-0.3324,-0.5894,-0.3308,0
4,0,0,49.0607,-0.5235,1.4021,0.4316,-0.0321,-0.4068,-0.0285,0.9125,-0.9333,-0.3374,-0.1227,0.998,-0.9248,-0.3373,-0.1761,0.998,-0.6057,-0.3245,-0.6028,-0.3230,0
5,0,0,49.0730,-0.5233,1.4020,0.4318,-0.0317,-0.4074,-0.0290,0.9123,-0.9549,-0.2599,-0.1437,0.998,-0.9454,-0.2598,-0.1969,0.998,-0.6215,-0.2598,-0.6173,-0.2593,0
6,0,0,49.0840,-0.5231,1.4019,0.4321,-0.0313,-0.4076,-0.0296,0.9122,-0.9547,-0.2594,-0.1456,0.998,-0.9452,-0.2591,-0.1987,0.998,-0.6229,-0.2603,-0.6182,-0.2609,0
7,0,0,49.0952,-0.5228,1.4019,0.4323,-0.0308,-0.4077,-0.0300,0.9121,-0.9546,-0.2592,-0.1467,0.998,-0.9450,-0.2588,-0.1998,0.998,-0.6237,-0.2608,-0.6187,-0.2624,0
8,0,0,49.1055,-0.5225,1.4018,0.4326,-0.0307,-0.4079,-0.0302,0.9120,-0.9760,-0.1153,-0.1849,0.998,-0.9645,-0.1152,-0.2375,0.998,-0.6595,-0.1472,-0.6537,-0.1497,0
9,0,0,49.1167,-0.5221,1.4018,0.4327,-0.0305,-0.4080,-0.0304,0.9120,-0.9758,-0.1153,-0.1856,0.998,-0.9644,-0.1152,-0.2382,0.998,-0.6600,-0.1475,-0.6541,-0.1504,0
10,0,0,49.1278,-0.5216,1.4017,0.4329,-0.0304,-0.4081,-0.0305,0.9119,-0.9755,-0.1153,-0.1876,0.998,-0.9639,-0.1152,-0.2402,0.998,-0.6624,-0.1479,-0.6560,-0.1509,0
11,0,0,49.1389,-0.5211,1.4017,0.4331,-0.0301,-0.4081,-0.0307,0.9119,-0.9754,-0.1154,-0.1878,0.998,-0.9638,-0.1151,-0.2404,0.998,-0.6627,-0.1482,-0.6563,-0.1517,0
12,0,0,49.1544,-0.5205,1.4019,0.4333,-0.0297,-0.4081,-0.0308,0.9119,-0.9753,-0.1162,-0.1877,0.998,-0.9638,-0.1159,-0.2403,0.998,-0.6626,-0.1487,-0.6564,-0.1528,0
13,0,0,49.1614,-0.5199,1.4020,0.4335,-0.0294,-0.4081,-0.0308,0.9120,-0.9755,-0.1167,-0.1865,0.998,-0.9640,-0.1163,-0.2392,0.998,-0.6609,-0.1489,-0.6546,-0.1532,0
14,0,0,49.1726,-0.5190,1.4023,0.4338,-0.0293,-0.4080,-0.0305,0.9120,-0.9759,-0.1170,-0.1842,0.998,-0.9645,-0.1167,-0.2368,0.998,-0.6578,-0.1483,-0.6519,-0.1524,0
15,0,0,49.1873,-0.5180,1.4027,0.4340,-0.0291,-0.4078,-0.0300,0.9121,-0.9759,-0.1186,-0.1832,0.998,-0.9646,-0.1184,-0.2358,0.998,-0.6570,-0.1487,-0.6514,-0.1523,0
16,0,0,49.1946,-0.5171,1.4029,0.4342,-0.0289,-0.4076,-0.0299,0.9122,-0.9760,-0.1195,-0.1822,0.998,-0.9647,-0.1191,-0.2349,0.998,-0.6563,-0.1490,-0.6513,-0.1527,0
17,0,0,49.2062,-0.5160,1.4032,0.4344,-0.0285,-0.4071,-0.0298,0.9125,-0.9753,-0.1188,-0.1862,0.998,-0.9638,-0.1184,-0.2388,0.998,-0.6635,-0.1490,-0.6599,-0.1531,0
18,0,0,49.2177,-0.5145,1.4036,0.4344,-0.0281,-0.4066,-0.0295,0.9127,-0.9755,-0.1203,-0.1843,0.998,-0.9641,-0.1199,-0.2369,0.998,-0.6621,-0.1496,-0.6598,-0.1539,0
19,0,0,49.2280,-0.5131,1.4040,0.4345,-0.0276,-0.4063,-0.0292,0.9128,-0.9753,-0.1239,-0.1830,0.998,-0.9640,-0.1234,-0.2356,0.998,-0.6613,-0.1516,-0.6597,-0.1560,0
20,0,0,49.2393,-0.5115,1.4045,0.4343,-0.0268,-0.4060,-0.0289,0.9130,-0.9752,-0.1263,-0.1819,0.998,-0.9640,-0.1257,-0.2345,0.998,-0.6605,-0.1528,-0.6596,-0.1576,0
21,0,0,49.2504,-0.5098,1.4049,0.4342,-0.0259,-0.4058,-0.0288,0.9131,-0.9753,-0.1292,-0.1791,0.998,-0.9642,-0.1284,-0.2318,0.998,-0.6572,-0.1542,-0.6568,-0.1598,0
22,0,0,49.2654,-0.5079,1.4054,0.4339,-0.0250,-0.4056,-0.0289,0.9133,-0.9751,-0.1310,-0.1788,0.998,-0.9641,-0.1301,-0.2315,0.998,-0.6569,-0.1554,-0.6570,-0.1620,0
23,0,0,49.2728,-0.5061,1.4059,0.4336,-0.0242,-0.4053,-0.0290,0.9134,-0.9739,-0.1357,-0.1819,0.998,-0.9627,-0.1346,-0.2346,0.998,-0.6624,-0.1598,-0.6630,-0.1674,0
24,0,0,49.2844,-0.5040,1.4064,0.4331,-0.0236,-0.4051,-0.0294,0.9135,-0.9740,-0.1360,-0.1813,0.998,-0.9629,-0.1348,-0.2339,0.998,-0.6619,-0.1604,-0.6634,-0.1693,0
25,0,0,49.2952,-0.5016,1.4069,0.4325,-0.0234,-0.4049,-0.0301,0.9136,-0.9738,-0.1366,-0.1815,0.998,-0.9627,-0.1353,-0.2342,0.998,-0.6627,-0.1621,-0.6649,-0.1723,0
