FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink
0,0,0,2026-06-16 16:02:20.432,-0.0001,-0.0001,0.0002,0.0905,-0.3846,0
1,0,0,2026-06-16 16:02:20.442,-0.0002,-0.0002,0.0002,0.0940,-0.3851,0
2,0,0,2026-06-16 16:02:20.464,-0.0002,-0.0003,0.0003,0.0939,-0.3851,0
3,0,0,2026-06-16 16:02:20.476,-0.0003,-0.0003,0.0004,0.0941,-0.3877,0
4,0,0,2026-06-16 16:02:20.497,-0.0004,-0.0005,0.0005,0.0941,-0.3877,0
5,0,0,2026-06-16 16:02:20.509,-0.0004,-0.0006,0.0005,0.0963,-0.3960,0
6,0,0,2026-06-16 16:02:20.531,-0.0005,-0.0006,0.0006,0.0964,-0.3960,0
7,0,0,2026-06-16 16:02:20.542,-0.0006,-0.0006,0.0006,0.0963,-0.3959,0
8,0,0,2026-06-16 16:02:20.564,-0.0007,-0.0006,0.0007,0.0931,-0.4012,0
9,0,0,2026-06-16 16:02:20.576,-0.0008,-0.0006,0.0007,0.0932,-0.4012,0
10,0,0,2026-06-16 16:02:20.585,-0.0008,-0.0006,0.0007,0.0933,-0.4013,0
11,0,0,2026-06-16 16:02:20.608,-0.0010,-0.0006,0.0007,0.0912,-0.3713,0
12,0,0,2026-06-16 16:02:20.631,-0.0011,-0.0005,0.0007,0.0615,-0.2479,0
13,0,0,2026-06-16 16:02:20.641,-0.0012,-0.0005,0.0007,0.0615,-0.2479,0
14,0,0,2026-06-16 16:02:20.664,-0.0014,-0.0004,0.0007,0.0617,-0.2480,0
15,0,0,2026-06-16 16:02:20.676,-0.0015,-0.0004,0.0007,0.0617,-0.2480,0
16,0,0,2026-06-16 16:02:20.697,-0.0017,-0.0003,0.0007,0.0561,-0.0782,0
17,0,0,2026-06-16 16:02:20.709,-0.0018,-0.0003,0.0007,0.0732,0.0047,0
18,0,0,2026-06-16 16:02:20.730,-0.0020,-0.0004,0.0007,0.0218,0.0155,0
19,0,0,2026-06-16 16:02:20.742,-0.0021,-0.0004,0.0007,0.0170,0.0153,0
20,0,0,2026-06-16 16:02:20.764,-0.0023,-0.0004,0.0007,0.0170,0.0153,0
21,0,0,2026-06-16 16:02:20.776,-0.0024,-0.0004,0.0007,0.0112,0.0030,0
22,0,0,2026-06-16 16:02:20.797,-0.0025,-0.0004,0.0007,0.0183,0.0135,0
23,0,0,2026-06-16 16:02:20.809,-0.0026,-0.0004,0.0007,0.0183,0.0135,0
24,0,0,2026-06-16 16:02:20.830,-0.0027,-0.0005,0.0007,0.0185,0.0032,0
25,0,0,2026-06-16 16:02:20.843,-0.0027,-0.0005,0.0007,0.0004,-0.0056,0
26,0,0,2026-06-16 16:02:20.864,-0.0028,-0.0005,0.0007,0.0023,-0.0097,0
27,0,0,2026-06-16 16:02:20.876,-0.0028,-0.0005,0.0007,0.0065,-0.0151,0
28,0,0,2026-06-16 16:02:20.897,-0.0029,-0.0006,0.0007,0.0065,-0.0151,0
29,0,0,2026-06-16 16:02:20.908,-0.0030,-0.0006,0.0007,0.0065,-0.0166,0
30,0,0,2026-06-16 16:02:20.931,-0.0030,-0.0007,0.0006,0.0088,-0.0169,0
