FrameIndex,Block,Trial,AbsTime,HeadDeltaX,HeadDeltaY,HeadDeltaZ,GazeCorrX,GazeCorrY,IsBlink,BlinkStatus,LeftEyeClosure,RightEyeClosure,EyeClosureMean
0,0,0,2026-07-14 11:56:03.292,0.0000,0.0000,0.0000,0.0002,0.0107,0,BelowThreshold,0.0000,0.0000,0.0000
1,0,0,2026-07-14 11:56:03.324,0.0000,-0.0001,0.0000,0.0016,0.0093,0,BelowThreshold,0.0000,0.0000,0.0000
2,0,0,2026-07-14 11:56:03.334,0.0000,-0.0001,-0.0001,0.0016,0.0093,0,BelowThreshold,0.0000,0.0000,0.0000
3,0,0,2026-07-14 11:56:03.357,0.0001,-0.0002,-0.0001,0.0016,0.0094,0,BelowThreshold,0.0000,0.0000,0.0000
4,0,0,2026-07-14 11:56:03.369,0.0001,-0.0002,-0.0001,0.0016,0.0094,0,BelowThreshold,0.0000,0.0000,0.0000
5,0,0,2026-07-14 11:56:03.390,0.0001,-0.0001,0.0000,0.0015,0.0126,0,BelowThreshold,0.0000,0.0000,0.0000
6,0,0,2026-07-14 11:56:03.402,0.0002,-0.0001,0.0000,0.0039,0.0125,0,BelowThreshold,0.0000,0.0000,0.0000
7,0,0,2026-07-14 11:56:03.412,0.0002,-0.0001,0.0001,0.0014,0.0117,0,BelowThreshold,0.0000,0.0000,0.0000
8,0,0,2026-07-14 11:56:03.435,0.0003,-0.0001,0.0001,0.0048,0.0123,0,BelowThreshold,0.0000,0.0000,0.0000
9,0,0,2026-07-14 11:56:03.457,0.0004,-0.0001,0.0001,0.0079,0.0127,0,BelowThreshold,0.0000,0.0000,0.0000
10,0,0,2026-07-14 11:56:03.469,0.0004,-0.0001,0.0002,0.0079,0.0122,0,BelowThreshold,0.0000,0.0000,0.0000
11,0,0,2026-07-14 11:56:03.491,0.0004,-0.0002,0.0003,-0.0235,0.0056,0,BelowThreshold,0.0056,0.0058,0.0057
12,0,0,2026-07-14 11:56:03.502,0.0004,-0.0002,0.0004,-0.0480,0.0065,0,BelowThreshold,0.0056,0.0058,0.0057
13,0,0,2026-07-14 11:56:03.523,0.0004,-0.0003,0.0005,-0.0575,0.0069,0,BelowThreshold,0.0266,0.0808,0.0537
14,0,0,2026-07-14 11:56:03.535,0.0004,-0.0003,0.0005,-0.0690,-0.0046,0,BelowThreshold,0.0266,0.0808,0.0537
15,0,0,2026-07-14 11:56:03.557,0.0004,-0.0003,0.0006,-0.0788,-0.0139,0,BelowThreshold,0.0013,0.0329,0.0171
16,0,0,2026-07-14 11:56:03.569,0.0004,-0.0003,0.0007,-0.0857,-0.0259,0,BelowThreshold,0.0013,0.0329,0.0171
